phase fields,pareto front,magpie37,random200,megnet16,leaf36,mat2vec
I K Mg Ta       ,79,12.984,29.38,6.07,10.936,29.923
F K Li Mg       ,79,13.157,29.314,7.683,9.968,30.319
B Mg O Si       ,80,9.426,27.585,8.098,12.821,25.855
Al F Mg Zn      ,81,9.437,29.646,8.337,11.223,27.534
B Ca Mg S       ,82,9.451,29.149,8.197,12.535,27.722
Br Li Mg Si     ,83,9.451,29.585,5.08,11.455,30.204
Br Mg Y Zr      ,84,9.451,29.906,6.428,12.817,29.343
Br La Mg Si     ,85,9.464,29.369,6.299,12.749,29.76
B Mg O Zn       ,86,9.465,27.925,8.67,11.958,25.784
Br Li Mg Zn     ,87,9.49,29.902,5.949,10.48,30.144
Al Br Li Mg     ,87,9.524,29.81,5.595,10.407,29.858
B Cl Mg Zr      ,88,9.493,29.63,8.205,12.216,29.016
Mg S Ta Y       ,88,10.57,29.526,7.2,12.127,27.749
B I Mg P        ,89,9.497,28.979,7.753,13.242,29.43
La Mg O Y       ,89,10.479,27.787,7.692,13.04,26.205
Br La Mg Zn     ,90,9.503,29.689,7.018,11.881,29.699
Mg O P Y        ,91,9.512,27.622,6.62,13.292,25.398
B Br Mg Zr      ,92,9.54,29.736,8.083,12.41,30.221
La Mg S Zr      ,92,9.578,29.404,6.956,12.378,27.528
