Phase fields     scores        Norm. score
Eu O Se Se       9.324528189074902 0.22423499591859553
Cl Cu In O       9.326265824431173 0.2243834265272344
Cu Se Te V       9.329722489209129 0.2246786984063441
Cl I O Pb        9.331194255403148 0.2248044181962673
Br Mn O Sb       9.335913100342156 0.2252075068096772
O Se Se Sm       9.338140251571621 0.2253977523703058
As Cl Hg Ti      9.345526151093695 0.22602866354361598
Cl N O S         9.346731580669925 0.22613163258428703
Cu I In Te       9.347717016458999 0.2262158095282121
Cl O Si Tb       9.350584254480108 0.22646073196435554
Bi Cd I O        9.364455651389678 0.2276456410297331
As F N Se        9.370632912353074 0.2281733090477733
Cl N O Sb        9.380113724625003 0.22898316983406455
I Mn O Sb        9.383510745674267 0.22927334688420511
Ca Pb S Se       9.393164464527038 0.23009797752939679
Cl O Te Zr       9.399326546005666 0.23062434890015537
N O P Zn         9.404875772812865 0.23109836959126184
S Se Tl V        9.407069457580349 0.23128575641210694
F Hg S Si         9.40771722158104 0.2313410890827566
Br Cd O V        9.413848324419147 0.2318648142260127
As Ni P Sr       9.417632260967535 0.23218804199811285
Bi Se Te Tl      9.417844399532184 0.23220616309363099
Se Te Ti Ti      9.418837348898927 0.23229098185512864
Al Ca O Te       9.422820024315174 0.2326311861067938
La S S Se         9.43406072046343 0.23359137799330973
Ag Bi Cl S       9.447394007905048 0.23473032119159384
O Sb Se Sr       9.448047879372439 0.234786175568363
Bi Cl Hg S       9.448262205281031 0.23480448350906244
Br Ca O P        9.457035033883988 0.23555386759838023
Al Ca Cl O       9.457483509913205 0.23559217688446618
Cd I O V         9.461053893315123 0.2358971627260064
As Cl Hg Tl       9.47056842870601 0.23670990417598514
Bi Cl Cu S       9.473317958825588 0.2369447718814838
Cl Nb P Se       9.489417282212946 0.23831999273000268
Cl Mo S Se       9.501503217881677 0.23935238585023375
Ca I O P          9.50402610103493 0.2395678931375438
Cu Cu S Te       9.504895159922347 0.23964212904620982
Ag S Te V        9.508801582550992 0.23997581970592086
Cl Cu Hg S       9.514378312926967 0.2404521897803078
As Bi Br Hg      9.517780196843185 0.2407427822215712
Br Ca O Si       9.523533706386843 0.24123425295522938
B Br Ni O        9.528176350757857 0.24163083243733874
As Cl O Sr       9.532997779347884 0.24204268385227856
C Cl O Sb        9.538548574775323 0.2425168385365477
Ag Bi Br Se      9.539914053565049 0.24263347914650746
Cl S Si Sm       9.540265790080268 0.24266352484329023
Bi Cl Hg Te      9.554632760036872 0.24389076627070827
Cl O Se Sr       9.555954797621286 0.24400369608799696
Bi Cu O Se       9.557009152102443 0.24409376013785397
S Se Tl Tl       9.560270036439308 0.2443723082492725
Ga Mo S Se       9.563252078993509 0.2446270374073263
Bi Br Cu Se      9.565587266750287 0.24482651155981458
Br Nb Se Se       9.56679341455157 0.24492954195201308
F O Se Tm        9.568554121617742 0.24507994336996483
As F N S         9.574593808467881 0.24559585966501632
B I Ni O         9.574818278598572 0.24561503413565508
Bi Cl Mn S       9.583110877103735 0.24632339647351884
As Br Cu Hg      9.583416711026052 0.24634952112335864
Cl Hg P Ti       9.587668153469053 0.2467126837323217
Ga N O Zn        9.592836395457342 0.2471541603063041
Al N O Si         9.59903455816139 0.24768361377264106
Cl O Se Y        9.604496867980941 0.24815020992480033
Cu Rh S Se       9.605943158152108 0.24827375352651163
Br Cu Hg Se      9.606253238922179 0.24830024094647798
Bi Cu I Se       9.612047661911552 0.2487952065489687
As I Li Se       9.616199141122712 0.24914983019531836
Er F O Se        9.616877924874963 0.24920781260521677
O Se Si Sm       9.623374778617858 0.24976278056890247
As O Y Zn        9.623732175555071 0.24979330978478517
O P S Sr          9.63258857380753 0.25054983247996354
As Br Hg Ti      9.641558539399158 0.25131605621466996
As Cl Eu O       9.646164602777256 0.2517095109105449
La O Se Se       9.657638327812153 0.25268960836548165
Al Cl N O        9.657788396170753 0.25270242735982534
