Phase fields,     scores,     Norm. scores,
Br Mo Te Te     ,  9.263,    0.232,
Bi Pb S Se      ,  9.264,    0.232,
Al Ca O Te      ,  9.265,    0.232,
Ag N O Se       ,  9.266,    0.232,
S Se Tl V       ,  9.269,    0.232,
Cl Mo O Te      ,  9.274,    0.232,
Bi Br O Te      ,  9.275,    0.232,
Dy O S Sn       ,  9.277,    0.233,
La O Se Si      ,  9.278,    0.233,
Cl O Si Y       ,  9.283,    0.233,
Cl P Se Ta      ,  9.291,    0.234,
Ga N O Zn       ,  9.291,    0.234,
As Cl La O      ,  9.295,    0.234,
Bi Br Cu S      ,  9.297,    0.234,
As F N S        ,    9.3,    0.234,
Bi Cu I Se      ,  9.303,    0.235,
Cl Hg S Zr      ,  9.307,    0.235,
Al N O Si       ,  9.311,    0.235,
O P Y Zn        ,  9.312,    0.235,
Cl Hg P Zr      ,   9.32,    0.236,
Br Hg I Te      ,  9.323,    0.236,
F I O Te        ,  9.325,    0.236,
Ag Cl O Pb      ,  9.328,    0.236,
Cu Dy O Se      ,  9.328,    0.236,
Ca Pb S Se      ,   9.33,    0.237,
Ag Hg I S       ,   9.33,    0.237,
Cl Li O P       ,   9.33,    0.237,
Br S Si Sm      ,  9.332,    0.237,
B Br Ni O       ,  9.334,    0.237,
Al Cl N O       ,  9.336,    0.237,
Br Cr O P       ,  9.339,    0.237,
Ag Bi Cl O      ,  9.344,    0.238,
As La O Zn      ,  9.349,    0.238,
Nd O Se Se      ,  9.352,    0.238,
Cu F O Te       ,  9.355,    0.238,
Na O S S        ,  9.356,    0.239,
La O Se Zn      ,  9.357,    0.239,
Br Cr O Si      ,  9.364,    0.239,
Br Hg Se Zr     ,  9.365,    0.239,
I O P Pb        ,  9.367,    0.239,
Na O P S        ,  9.368,     0.24,
O S Si Yb       ,  9.372,     0.24,
C Cl O Sb       ,  9.377,     0.24,
Cr Hg S Se      ,  9.388,    0.241,
As Cl Eu O      ,  9.395,    0.242,
Cl N O Sn       ,  9.397,    0.242,
Bi Cu O S       ,    9.4,    0.242,
Cl Eu O Se      ,  9.404,    0.242,
C Cl O Pd       ,  9.404,    0.242,
Cl S Se W       ,  9.405,    0.242,
I O Pb Sb       ,  9.412,    0.243,
I Li P S        ,  9.414,    0.243,
Cl I O Pb       ,  9.416,    0.243,
Br La S Si      ,  9.419,    0.243,
F Ge O V        ,   9.42,    0.243,
I Nb Te Te      ,   9.43,    0.244,
Ga La O Se      ,  9.431,    0.244,
Cl O Si Yb      ,  9.434,    0.244,
Cl In Nb O      ,  9.434,    0.244,
O S Si Sm       ,  9.435,    0.245,
C F Ge Se       ,  9.439,    0.245,
Br La S Sb      ,  9.439,    0.245,
Cl Cu O Pb      ,  9.445,    0.245,
Cu Hg I S       ,  9.447,    0.246,
Ca I O P        ,  9.448,    0.246,
As Cl Hg Tl     ,  9.453,    0.246,
I Li S Sb       ,  9.459,    0.246,
Bi Cl Cu O      ,  9.461,    0.247,
As Cl Pr S      ,  9.462,    0.247,
As Br Na O      ,  9.466,    0.247,
Cl Nd S Si      ,  9.471,    0.247,
Hg Mo S Se      ,  9.481,    0.248,
Bi Cd I O       ,  9.485,    0.248,
Bi Cl Hg S      ,  9.486,    0.248,
B Br Cu O       ,  9.487,    0.249,
Br Nb O Te      ,  9.491,    0.249,
F O S Tc        ,  9.493,    0.249,
Cl O Si Sm      ,  9.496,    0.249,
I Mn O Sb       ,  9.507,     0.25,
Ag N O S        ,  9.508,     0.25,
I Mo Te Te      ,  9.512,     0.25,
Be Cl I Zr      ,  9.512,     0.25,
F O Sc Se       ,  9.517,    0.251,
La O S Si       ,   9.52,    0.251,
Bi I O Te       ,  9.523,    0.251,
O P Sm Zn       ,  9.525,    0.251,
Ca Cl Cu O      ,  9.526,    0.251,
Cl N P Ti       ,  9.529,    0.252,
Cl P S Ta       ,  9.533,    0.252,
As Cl Hg Mo     ,  9.534,    0.252,
As Bi Br Hg     ,  9.534,    0.252,
Mo Ru Se Te     ,  9.537,    0.252,
La O S Sb       ,  9.541,    0.253,
Bi Cu I S       ,  9.544,    0.253,
Cl La O S       ,  9.545,    0.253,
Ag Cl Cr O      ,  9.548,    0.253,
B Cl N P        ,   9.55,    0.253,
F O Sb Tc       ,   9.55,    0.253,
Bi Cu O Te      ,  9.552,    0.253,
Cl N Si Ti      ,  9.553,    0.253,
Cl La O P       ,  9.557,    0.254,
Ga Se Ta Te     ,  9.558,    0.254,
Mo Pb S Se      ,  9.562,    0.254,
F N P S         ,  9.562,    0.254,
Cr Mn S Se      ,  9.564,    0.254,
As Cr Mn P      ,  9.567,    0.255,
Cl Lu O Se      ,  9.568,    0.255,
As C F S        ,  9.569,    0.255,
Ag Cl N O       ,  9.569,    0.255,
F O P V         ,  9.571,    0.255,
